year,Ft,Country,bin,count
2023,diesel,AT,60,99
2023,diesel,AT,70,259
2023,diesel,AT,80,12588
2023,diesel,AT,90,3620
2023,diesel,AT,100,5248
2023,diesel,AT,110,20350
2023,diesel,AT,120,2074
2023,diesel,AT,130,392
2023,diesel,AT,140,5030
2023,diesel,AT,150,5748
2023,diesel,AT,170,553
2023,diesel,AT,180,237
2023,diesel,AT,190,283
2023,diesel,AT,200,203
2023,diesel,AT,210,1807
2023,diesel,AT,220,173
2023,diesel,AT,230,3
2023,diesel,AT,240,442
2023,diesel,AT,250,830
2023,diesel,AT,260,69
2023,diesel,AT,270,88
2023,diesel,AT,290,2
2023,diesel,AT,300,1
2023,diesel,BE,60,55
2023,diesel,BE,70,546
2023,diesel,BE,80,12562
2023,diesel,BE,90,2031
2023,diesel,BE,100,10899
2023,diesel,BE,110,6785
2023,diesel,BE,120,3488
2023,diesel,BE,130,171
2023,diesel,BE,140,1836
2023,diesel,BE,150,1480
2023,diesel,BE,160,54
2023,diesel,BE,170,325
2023,diesel,BE,180,138
2023,diesel,BE,190,12
2023,diesel,BE,200,124
2023,diesel,BE,210,381
2023,diesel,BE,220,168
2023,diesel,BE,230,3
2023,diesel,BE,240,107
2023,diesel,BE,250,190
2023,diesel,BE,260,92
2023,diesel,BE,270,16
2023,diesel,BE,290,3
2023,diesel,BE,300,3
2023,diesel,BE,310,1
2023,diesel,BG,70,89
2023,diesel,BG,80,1063
2023,diesel,BG,90,145
2023,diesel,BG,100,665
2023,diesel,BG,110,1500
2023,diesel,BG,120,80
2023,diesel,BG,130,69
2023,diesel,BG,140,573
2023,diesel,BG,150,1074
2023,diesel,BG,170,126
2023,diesel,BG,180,28
2023,diesel,BG,190,66
2023,diesel,BG,200,58
2023,diesel,BG,210,574
2023,diesel,BG,220,35
2023,diesel,BG,230,2
2023,diesel,BG,240,144
2023,diesel,BG,250,212
2023,diesel,BG,260,18
2023,diesel,BG,270,25
2023,diesel,CY,80,65
2023,diesel,CY,90,2
2023,diesel,CY,100,82
2023,diesel,CY,110,130
2023,diesel,CY,120,92
2023,diesel,CY,130,10
2023,diesel,CY,140,161
2023,diesel,CY,150,90
2023,diesel,CY,170,19
2023,diesel,CY,180,18
2023,diesel,CY,190,2
2023,diesel,CY,200,32
2023,diesel,CY,210,51
2023,diesel,CY,220,39
2023,diesel,CY,240,57
2023,diesel,CY,250,14
2023,diesel,CY,260,20
2023,diesel,CY,270,2
2023,diesel,CZ,10,23
2023,diesel,CZ,60,16
2023,diesel,CZ,70,153
2023,diesel,CZ,80,9683
2023,diesel,CZ,90,886
2023,diesel,CZ,100,2673
2023,diesel,CZ,110,17835
2023,diesel,CZ,120,601
2023,diesel,CZ,130,974
2023,diesel,CZ,140,3367
2023,diesel,CZ,150,10980
2023,diesel,CZ,170,1617
2023,diesel,CZ,180,212
2023,diesel,CZ,190,187
2023,diesel,CZ,200,227
2023,diesel,CZ,210,2807
2023,diesel,CZ,220,274
2023,diesel,CZ,230,6
2023,diesel,CZ,240,945
2023,diesel,CZ,250,883
2023,diesel,CZ,260,130
2023,diesel,CZ,270,281
2023,diesel,CZ,290,4
2023,diesel,CZ,300,2
2023,diesel,DE,60,24
2023,diesel,DE,70,1587
2023,diesel,DE,80,55224
2023,diesel,DE,90,17799
2023,diesel,DE,100,33313
2023,diesel,DE,110,183318
2023,diesel,DE,120,27438
2023,diesel,DE,130,9207
2023,diesel,DE,140,79378
2023,diesel,DE,150,111248
2023,diesel,DE,160,3
2023,diesel,DE,170,18398
2023,diesel,DE,180,4268
2023,diesel,DE,190,2212
2023,diesel,DE,200,6442
2023,diesel,DE,210,36934
2023,diesel,DE,220,3014
2023,diesel,DE,230,93
2023,diesel,DE,240,7475
2023,diesel,DE,250,18744
2023,diesel,DE,260,931
2023,diesel,DE,270,1991
2023,diesel,DE,280,7
2023,diesel,DE,290,113
2023,diesel,DE,300,71
2023,diesel,DE,330,1
2023,diesel,DE,NA,1
2023,diesel,DK,70,10
2023,diesel,DK,80,433
2023,diesel,DK,90,176
2023,diesel,DK,100,1201
2023,diesel,DK,110,4171
2023,diesel,DK,120,576
2023,diesel,DK,130,190
2023,diesel,DK,140,1763
2023,diesel,DK,150,4543
2023,diesel,DK,160,1
2023,diesel,DK,170,40
2023,diesel,DK,180,12
2023,diesel,DK,190,138
2023,diesel,DK,200,528
2023,diesel,DK,210,216
2023,diesel,DK,220,2
2023,diesel,DK,240,107
2023,diesel,DK,250,67
2023,diesel,DK,260,3
2023,diesel,DK,270,25
2023,diesel,DK,340,1
2023,diesel,DK,NA,24
2023,diesel,EE,70,15
2023,diesel,EE,80,474
2023,diesel,EE,90,25
2023,diesel,EE,100,564
2023,diesel,EE,110,983
2023,diesel,EE,120,130
2023,diesel,EE,130,104
2023,diesel,EE,140,322
2023,diesel,EE,150,518
2023,diesel,EE,170,243
2023,diesel,EE,180,29
2023,diesel,EE,190,12
2023,diesel,EE,200,10
2023,diesel,EE,210,243
2023,diesel,EE,220,50
2023,diesel,EE,240,66
2023,diesel,EE,250,90
2023,diesel,EE,260,53
2023,diesel,EE,270,18
2023,diesel,EE,300,1
2023,diesel,ES,10,12
2023,diesel,ES,60,116
2023,diesel,ES,70,7367
2023,diesel,ES,80,42208
2023,diesel,ES,90,3538
2023,diesel,ES,100,29106
2023,diesel,ES,110,52582
2023,diesel,ES,120,6198
2023,diesel,ES,130,545
2023,diesel,ES,140,17052
2023,diesel,ES,150,10269
2023,diesel,ES,170,1458
2023,diesel,ES,180,703
2023,diesel,ES,190,278
2023,diesel,ES,200,1272
2023,diesel,ES,210,2804
2023,diesel,ES,220,345
2023,diesel,ES,230,23
2023,diesel,ES,240,444
2023,diesel,ES,250,651
2023,diesel,ES,260,65
2023,diesel,ES,270,133
2023,diesel,ES,NA,1
2023,diesel,FI,60,1
2023,diesel,FI,70,5
2023,diesel,FI,80,156
2023,diesel,FI,90,63
2023,diesel,FI,100,224
2023,diesel,FI,110,1098
2023,diesel,FI,120,64
2023,diesel,FI,130,101
2023,diesel,FI,140,429
2023,diesel,FI,150,704
2023,diesel,FI,170,44
2023,diesel,FI,180,1
2023,diesel,FI,190,5
2023,diesel,FI,200,7
2023,diesel,FI,210,4
2023,diesel,FI,220,1
2023,diesel,FI,240,14
2023,diesel,FI,250,6
2023,diesel,FI,260,2
2023,diesel,FI,270,1
2023,diesel,FR,60,2
2023,diesel,FR,70,13779
2023,diesel,FR,80,65618
2023,diesel,FR,90,2073
2023,diesel,FR,100,61378
2023,diesel,FR,110,52720
2023,diesel,FR,120,3504
2023,diesel,FR,130,263
2023,diesel,FR,140,10561
2023,diesel,FR,150,6645
2023,diesel,FR,170,249
2023,diesel,FR,180,92
2023,diesel,FR,190,343
2023,diesel,FR,200,27
2023,diesel,FR,210,1399
2023,diesel,FR,220,115
2023,diesel,FR,230,6
2023,diesel,FR,240,74
2023,diesel,FR,250,679
2023,diesel,FR,260,30
2023,diesel,FR,270,35
2023,diesel,GR,70,816
2023,diesel,GR,80,11781
2023,diesel,GR,90,157
2023,diesel,GR,100,4345
2023,diesel,GR,110,894
2023,diesel,GR,120,92
2023,diesel,GR,130,5
2023,diesel,GR,140,443
2023,diesel,GR,150,277
2023,diesel,GR,170,160
2023,diesel,GR,180,49
2023,diesel,GR,190,14
2023,diesel,GR,200,57
2023,diesel,GR,210,86
2023,diesel,GR,220,127
2023,diesel,GR,240,7
2023,diesel,GR,250,38
2023,diesel,GR,260,28
2023,diesel,GR,290,4
2023,diesel,HR,60,1
2023,diesel,HR,70,500
2023,diesel,HR,80,4576
2023,diesel,HR,90,294
2023,diesel,HR,100,1048
2023,diesel,HR,110,4257
2023,diesel,HR,120,409
2023,diesel,HR,130,154
2023,diesel,HR,140,888
2023,diesel,HR,150,891
2023,diesel,HR,170,146
2023,diesel,HR,180,28
2023,diesel,HR,190,60
2023,diesel,HR,200,23
2023,diesel,HR,210,268
2023,diesel,HR,220,18
2023,diesel,HR,230,2
2023,diesel,HR,240,45
2023,diesel,HR,250,31
2023,diesel,HR,260,14
2023,diesel,HR,270,7
2023,diesel,HR,1100,1
2023,diesel,HU,70,23
2023,diesel,HU,80,2960
2023,diesel,HU,90,187
2023,diesel,HU,100,1450
2023,diesel,HU,110,5597
2023,diesel,HU,120,1196
2023,diesel,HU,130,121
2023,diesel,HU,140,1804
2023,diesel,HU,150,2212
2023,diesel,HU,170,471
2023,diesel,HU,180,47
2023,diesel,HU,190,135
2023,diesel,HU,200,93
2023,diesel,HU,210,1476
2023,diesel,HU,220,73
2023,diesel,HU,230,5
2023,diesel,HU,240,286
2023,diesel,HU,250,520
2023,diesel,HU,260,42
2023,diesel,HU,270,107
2023,diesel,IE,70,1
2023,diesel,IE,80,10562
2023,diesel,IE,90,823
2023,diesel,IE,100,5039
2023,diesel,IE,110,8144
2023,diesel,IE,120,1091
2023,diesel,IE,130,3
2023,diesel,IE,140,1918
2023,diesel,IE,150,1081
2023,diesel,IE,170,69
2023,diesel,IE,180,25
2023,diesel,IE,190,24
2023,diesel,IE,200,28
2023,diesel,IE,210,99
2023,diesel,IE,220,3
2023,diesel,IE,240,10
2023,diesel,IE,250,39
2023,diesel,IE,260,2
2023,diesel,IE,NA,2
2023,diesel,IS,80,862
2023,diesel,IS,90,1
2023,diesel,IS,100,104
2023,diesel,IS,110,421
2023,diesel,IS,120,45
2023,diesel,IS,130,36
2023,diesel,IS,140,170
2023,diesel,IS,150,651
2023,diesel,IS,170,90
2023,diesel,IS,180,95
2023,diesel,IS,210,7
2023,diesel,IS,220,16
2023,diesel,IS,240,8
2023,diesel,IS,250,2
2023,diesel,IS,260,5
2023,diesel,IT,50,3
2023,diesel,IT,60,10
2023,diesel,IT,70,16474
2023,diesel,IT,80,71141
2023,diesel,IT,90,9317
2023,diesel,IT,100,95192
2023,diesel,IT,110,76985
2023,diesel,IT,120,9382
2023,diesel,IT,130,538
2023,diesel,IT,140,29109
2023,diesel,IT,150,22497
2023,diesel,IT,160,1
2023,diesel,IT,170,2107
2023,diesel,IT,180,4896
2023,diesel,IT,200,2914
2023,diesel,IT,210,5549
2023,diesel,IT,220,932
2023,diesel,IT,230,26
2023,diesel,IT,240,642
2023,diesel,IT,250,1379
2023,diesel,IT,260,463
2023,diesel,IT,270,306
2023,diesel,LT,60,18
2023,diesel,LT,70,66
2023,diesel,LT,80,651
2023,diesel,LT,90,57
2023,diesel,LT,100,584
2023,diesel,LT,110,802
2023,diesel,LT,120,125
2023,diesel,LT,130,66
2023,diesel,LT,140,183
2023,diesel,LT,150,365
2023,diesel,LT,170,143
2023,diesel,LT,180,20
2023,diesel,LT,190,2
2023,diesel,LT,200,6
2023,diesel,LT,210,452
2023,diesel,LT,220,26
2023,diesel,LT,240,43
2023,diesel,LT,250,89
2023,diesel,LT,260,59
2023,diesel,LT,270,11
2023,diesel,LU,60,3
2023,diesel,LU,70,221
2023,diesel,LU,80,1464
2023,diesel,LU,90,229
2023,diesel,LU,100,1405
2023,diesel,LU,110,2788
2023,diesel,LU,120,342
2023,diesel,LU,130,108
2023,diesel,LU,140,1125
2023,diesel,LU,150,1168
2023,diesel,LU,160,2
2023,diesel,LU,170,199
2023,diesel,LU,180,71
2023,diesel,LU,190,18
2023,diesel,LU,200,64
2023,diesel,LU,210,323
2023,diesel,LU,220,59
2023,diesel,LU,230,2
2023,diesel,LU,240,85
2023,diesel,LU,250,194
2023,diesel,LU,260,68
2023,diesel,LU,270,15
2023,diesel,LU,290,1
2023,diesel,LV,60,22
2023,diesel,LV,70,12
2023,diesel,LV,80,766
2023,diesel,LV,90,93
2023,diesel,LV,100,280
2023,diesel,LV,110,757
2023,diesel,LV,120,230
2023,diesel,LV,130,70
2023,diesel,LV,140,225
2023,diesel,LV,150,292
2023,diesel,LV,170,118
2023,diesel,LV,180,28
2023,diesel,LV,190,4
2023,diesel,LV,200,34
2023,diesel,LV,210,465
2023,diesel,LV,220,12
2023,diesel,LV,240,34
2023,diesel,LV,250,22
2023,diesel,LV,260,69
2023,diesel,LV,270,7
2023,diesel,MT,60,1
2023,diesel,MT,80,71
2023,diesel,MT,90,61
2023,diesel,MT,100,334
2023,diesel,MT,110,81
2023,diesel,MT,120,86
2023,diesel,MT,130,1
2023,diesel,MT,140,37
2023,diesel,MT,150,12
2023,diesel,MT,170,6
2023,diesel,MT,180,6
2023,diesel,MT,200,2
2023,diesel,MT,210,4
2023,diesel,MT,220,3
2023,diesel,MT,240,2
2023,diesel,MT,260,4
2023,diesel,NL,70,7
2023,diesel,NL,80,183
2023,diesel,NL,90,23
2023,diesel,NL,100,144
2023,diesel,NL,110,439
2023,diesel,NL,120,121
2023,diesel,NL,130,6
2023,diesel,NL,140,46
2023,diesel,NL,150,94
2023,diesel,NL,170,23
2023,diesel,NL,180,1
2023,diesel,NL,200,2
2023,diesel,NL,210,37
2023,diesel,NL,220,3
2023,diesel,NL,230,1
2023,diesel,NL,240,25
2023,diesel,NL,250,26
2023,diesel,NL,260,11
2023,diesel,NL,270,1
2023,diesel,NO,80,5
2023,diesel,NO,90,44
2023,diesel,NO,100,254
2023,diesel,NO,110,1385
2023,diesel,NO,120,241
2023,diesel,NO,130,124
2023,diesel,NO,140,212
2023,diesel,NO,150,650
2023,diesel,NO,170,87
2023,diesel,NO,180,3
2023,diesel,NO,190,6
2023,diesel,NO,210,14
2023,diesel,NO,220,8
2023,diesel,NO,240,12
2023,diesel,NO,250,28
2023,diesel,NO,260,22
2023,diesel,NO,270,2
2023,diesel,PL,60,5
2023,diesel,PL,70,136
2023,diesel,PL,80,8033
2023,diesel,PL,90,1783
2023,diesel,PL,100,6458
2023,diesel,PL,110,16931
2023,diesel,PL,120,2251
2023,diesel,PL,130,802
2023,diesel,PL,140,9916
2023,diesel,PL,150,12313
2023,diesel,PL,160,2
2023,diesel,PL,170,4419
2023,diesel,PL,180,291
2023,diesel,PL,190,652
2023,diesel,PL,200,1226
2023,diesel,PL,210,5295
2023,diesel,PL,220,272
2023,diesel,PL,230,22
2023,diesel,PL,240,888
2023,diesel,PL,250,2021
2023,diesel,PL,260,137
2023,diesel,PL,270,427
2023,diesel,PL,280,1
2023,diesel,PT,70,2137
2023,diesel,PT,80,11261
2023,diesel,PT,90,232
2023,diesel,PT,100,6139
2023,diesel,PT,110,3256
2023,diesel,PT,120,306
2023,diesel,PT,130,32
2023,diesel,PT,140,2130
2023,diesel,PT,150,625
2023,diesel,PT,170,57
2023,diesel,PT,180,9
2023,diesel,PT,200,426
2023,diesel,PT,210,126
2023,diesel,PT,220,20
2023,diesel,PT,240,104
2023,diesel,PT,250,108
2023,diesel,PT,260,20
2023,diesel,PT,270,32
2023,diesel,RO,50,124
2023,diesel,RO,60,199
2023,diesel,RO,70,2476
2023,diesel,RO,80,7475
2023,diesel,RO,90,368
2023,diesel,RO,100,746
2023,diesel,RO,110,1530
2023,diesel,RO,120,410
2023,diesel,RO,130,269
2023,diesel,RO,140,732
2023,diesel,RO,150,406
2023,diesel,RO,160,14
2023,diesel,RO,170,483
2023,diesel,RO,180,62
2023,diesel,RO,190,16
2023,diesel,RO,200,155
2023,diesel,RO,210,90
2023,diesel,RO,220,31
2023,diesel,RO,230,28
2023,diesel,RO,240,364
2023,diesel,RO,250,43
2023,diesel,RO,260,21
2023,diesel,RO,270,119
2023,diesel,RO,280,19
2023,diesel,RO,290,8
2023,diesel,RO,300,1
2023,diesel,RO,310,1
2023,diesel,RO,320,15
2023,diesel,RO,330,3
2023,diesel,RO,340,1
2023,diesel,RO,350,4
2023,diesel,RO,360,2
2023,diesel,RO,370,6
2023,diesel,RO,380,4
2023,diesel,RO,390,7
2023,diesel,RO,400,4
2023,diesel,RO,410,3
2023,diesel,RO,420,1
2023,diesel,RO,430,4
2023,diesel,RO,440,4
2023,diesel,RO,450,4
2023,diesel,RO,460,6
2023,diesel,RO,470,1
2023,diesel,RO,480,1
2023,diesel,RO,490,5
2023,diesel,RO,520,2
2023,diesel,RO,NA,1177
2023,diesel,SE,70,29
2023,diesel,SE,80,1106
2023,diesel,SE,90,333
2023,diesel,SE,100,531
2023,diesel,SE,110,2140
2023,diesel,SE,120,253
2023,diesel,SE,130,256
2023,diesel,SE,140,5673
2023,diesel,SE,150,7813
2023,diesel,SE,160,2
2023,diesel,SE,170,763
2023,diesel,SE,180,149
2023,diesel,SE,190,102
2023,diesel,SE,200,49
2023,diesel,SE,210,785
2023,diesel,SE,220,31
2023,diesel,SE,240,124
2023,diesel,SE,250,173
2023,diesel,SE,260,12
2023,diesel,SE,270,99
2023,diesel,SI,60,2
2023,diesel,SI,70,76
2023,diesel,SI,80,1655
2023,diesel,SI,90,181
2023,diesel,SI,100,729
2023,diesel,SI,110,3344
2023,diesel,SI,120,237
2023,diesel,SI,130,48
2023,diesel,SI,140,545
2023,diesel,SI,150,1037
2023,diesel,SI,170,202
2023,diesel,SI,180,23
2023,diesel,SI,190,37
2023,diesel,SI,200,24
2023,diesel,SI,210,374
2023,diesel,SI,220,20
2023,diesel,SI,240,52
2023,diesel,SI,250,103
2023,diesel,SI,260,10
2023,diesel,SI,270,5
2023,diesel,SK,50,1
2023,diesel,SK,60,36
2023,diesel,SK,70,52
2023,diesel,SK,80,3041
2023,diesel,SK,90,231
2023,diesel,SK,100,2867
2023,diesel,SK,110,4918
2023,diesel,SK,120,346
2023,diesel,SK,130,462
2023,diesel,SK,140,1866
2023,diesel,SK,150,2643
2023,diesel,SK,170,616
2023,diesel,SK,180,74
2023,diesel,SK,190,127
2023,diesel,SK,200,74
2023,diesel,SK,210,955
2023,diesel,SK,220,82
2023,diesel,SK,230,3
2023,diesel,SK,240,357
2023,diesel,SK,250,381
2023,diesel,SK,260,27
2023,diesel,SK,270,158
2023,diesel/electric,AT,140,694
2023,diesel/electric,BE,140,2953
2023,diesel/electric,BG,140,18
2023,diesel/electric,CY,140,1
2023,diesel/electric,CY,210,4
2023,diesel/electric,CZ,140,264
2023,diesel/electric,DE,140,9055
2023,diesel/electric,DE,150,24
2023,diesel/electric,DE,240,18
2023,diesel/electric,DE,250,1
2023,diesel/electric,DK,120,5
2023,diesel/electric,DK,140,278
2023,diesel/electric,EE,140,20
2023,diesel/electric,ES,140,1716
2023,diesel/electric,FI,140,220
2023,diesel/electric,FR,140,4462
2023,diesel/electric,GR,140,174
2023,diesel/electric,HR,140,102
2023,diesel/electric,HU,140,333
2023,diesel/electric,IE,110,6
2023,diesel/electric,IE,140,295
2023,diesel/electric,IE,200,2
2023,diesel/electric,IS,140,62
2023,diesel/electric,IT,140,2532
2023,diesel/electric,LT,140,12
2023,diesel/electric,LU,140,173
2023,diesel/electric,LU,210,1
2023,diesel/electric,MT,110,2
2023,diesel/electric,MT,140,14
2023,diesel/electric,MT,200,1
2023,diesel/electric,NL,140,50
2023,diesel/electric,NO,140,200
2023,diesel/electric,PL,140,353
2023,diesel/electric,PT,140,1309
2023,diesel/electric,RO,50,39
2023,diesel/electric,RO,60,80
2023,diesel/electric,RO,70,709
2023,diesel/electric,RO,80,367
2023,diesel/electric,RO,90,119
2023,diesel/electric,RO,100,117
2023,diesel/electric,RO,110,324
2023,diesel/electric,RO,120,90
2023,diesel/electric,RO,130,111
2023,diesel/electric,RO,140,337
2023,diesel/electric,RO,150,53
2023,diesel/electric,RO,160,6
2023,diesel/electric,RO,170,19
2023,diesel/electric,RO,180,12
2023,diesel/electric,RO,190,6
2023,diesel/electric,RO,200,2
2023,diesel/electric,RO,210,18
2023,diesel/electric,RO,220,4
2023,diesel/electric,RO,230,12
2023,diesel/electric,RO,240,15
2023,diesel/electric,RO,250,14
2023,diesel/electric,RO,260,3
2023,diesel/electric,RO,270,5
2023,diesel/electric,RO,280,7
2023,diesel/electric,RO,290,2
2023,diesel/electric,RO,310,1
2023,diesel/electric,RO,320,5
2023,diesel/electric,RO,340,1
2023,diesel/electric,RO,350,1
2023,diesel/electric,RO,360,1
2023,diesel/electric,RO,380,1
2023,diesel/electric,RO,410,1
2023,diesel/electric,RO,420,1
2023,diesel/electric,RO,430,4
2023,diesel/electric,RO,460,6
2023,diesel/electric,RO,470,1
2023,diesel/electric,RO,NA,430
2023,diesel/electric,SE,140,1887
2023,diesel/electric,SI,140,6
2023,diesel/electric,SK,140,133
2023,e85,DE,270,2
2023,e85,DE,280,14
2023,e85,DE,310,63
2023,e85,DK,490,1
2023,e85,FI,90,17
2023,e85,FR,70,4693
2023,e85,FR,90,24394
2023,e85,FR,110,10387
2023,e85,FR,150,1413
2023,e85,LU,150,1
2023,e85,SE,50,1
2023,e85,SE,90,2623
2023,e85,SE,110,23
2023,e85,SE,120,2568
2023,e85,SE,140,2
2023,e85,SE,200,1
2023,e85,SE,260,2
2023,e85,SE,320,1
2023,electric,AT,20,1
2023,electric,AT,30,486
2023,electric,AT,40,967
2023,electric,AT,50,435
2023,electric,AT,60,4662
2023,electric,AT,70,8047
2023,electric,AT,80,7889
2023,electric,AT,90,3558
2023,electric,AT,100,2274
2023,electric,AT,110,647
2023,electric,AT,120,1240
2023,electric,AT,130,200
2023,electric,AT,140,1774
2023,electric,AT,150,3668
2023,electric,AT,160,2670
2023,electric,AT,170,655
2023,electric,AT,180,1075
2023,electric,AT,190,2847
2023,electric,AT,200,100
2023,electric,AT,220,273
2023,electric,AT,230,45
2023,electric,AT,240,552
2023,electric,AT,280,75
2023,electric,AT,300,556
2023,electric,AT,320,27
2023,electric,AT,360,91
2023,electric,AT,430,137
2023,electric,AT,NA,2646
2023,electric,BE,30,426
2023,electric,BE,50,125
2023,electric,BE,60,191
2023,electric,BE,70,15
2023,electric,BE,80,68
2023,electric,BE,90,941
2023,electric,BE,100,5774
2023,electric,BE,110,948
2023,electric,BE,120,2624
2023,electric,BE,130,5342
2023,electric,BE,140,5525
2023,electric,BE,150,16693
2023,electric,BE,160,1182
2023,electric,BE,170,7309
2023,electric,BE,180,3340
2023,electric,BE,200,4410
2023,electric,BE,210,6573
2023,electric,BE,220,6397
2023,electric,BE,230,14
2023,electric,BE,240,2402
2023,electric,BE,250,3153
2023,electric,BE,260,242
2023,electric,BE,270,130
2023,electric,BE,280,1017
2023,electric,BE,290,70
2023,electric,BE,300,3261
2023,electric,BE,310,80
2023,electric,BE,320,47
2023,electric,BE,330,12
2023,electric,BE,340,4
2023,electric,BE,350,378
2023,electric,BE,360,265
2023,electric,BE,370,1488
2023,electric,BE,380,7260
2023,electric,BE,390,1645
2023,electric,BE,400,982
2023,electric,BE,430,117
2023,electric,BE,440,179
2023,electric,BE,450,106
2023,electric,BE,460,34
2023,electric,BE,480,26
2023,electric,BE,500,606
2023,electric,BE,620,54
2023,electric,BE,670,1
2023,electric,BE,680,15
2023,electric,BE,930,174
2023,electric,BE,NA,1703
2023,electric,BG,30,275
2023,electric,BG,50,11
2023,electric,BG,80,81
2023,electric,BG,90,15
2023,electric,BG,100,342
2023,electric,BG,110,16
2023,electric,BG,120,13
2023,electric,BG,130,46
2023,electric,BG,140,46
2023,electric,BG,150,286
2023,electric,BG,160,105
2023,electric,BG,170,64
2023,electric,BG,180,12
2023,electric,BG,200,90
2023,electric,BG,210,13
2023,electric,BG,220,116
2023,electric,BG,240,133
2023,electric,BG,250,50
2023,electric,BG,260,21
2023,electric,BG,270,2
2023,electric,BG,280,24
2023,electric,BG,290,9
2023,electric,BG,300,69
2023,electric,BG,330,3
2023,electric,BG,340,8
2023,electric,BG,350,15
2023,electric,BG,360,13
2023,electric,BG,370,34
2023,electric,BG,380,285
2023,electric,BG,390,40
2023,electric,BG,400,85
2023,electric,BG,430,5
2023,electric,BG,440,15
2023,electric,BG,460,6
2023,electric,BG,480,5
2023,electric,BG,500,7
2023,electric,BG,620,15
2023,electric,BG,750,1
2023,electric,BG,930,5
2023,electric,BG,NA,1
2023,electric,CY,60,4
2023,electric,CY,80,4
2023,electric,CY,90,5
2023,electric,CY,100,24
2023,electric,CY,110,1
2023,electric,CY,120,142
2023,electric,CY,130,26
2023,electric,CY,140,16
2023,electric,CY,150,172
2023,electric,CY,160,18
2023,electric,CY,170,97
2023,electric,CY,180,14
2023,electric,CY,190,3
2023,electric,CY,200,14
2023,electric,CY,210,14
2023,electric,CY,220,42
2023,electric,CY,230,1
2023,electric,CY,240,72
2023,electric,CY,250,9
2023,electric,CY,260,6
2023,electric,CY,280,16
2023,electric,CY,290,1
2023,electric,CY,300,29
2023,electric,CY,320,9
2023,electric,CY,350,1
2023,electric,CY,360,2
2023,electric,CY,380,8
2023,electric,CY,400,12
2023,electric,CY,430,4
2023,electric,CY,460,1
2023,electric,CY,480,2
2023,electric,CY,NA,5
2023,electric,CZ,30,72
2023,electric,CZ,50,28
2023,electric,CZ,60,5
2023,electric,CZ,70,24
2023,electric,CZ,80,102
2023,electric,CZ,90,142
2023,electric,CZ,100,572
2023,electric,CZ,110,19
2023,electric,CZ,120,148
2023,electric,CZ,130,55
2023,electric,CZ,140,116
2023,electric,CZ,150,1438
2023,electric,CZ,160,1215
2023,electric,CZ,170,202
2023,electric,CZ,180,17
2023,electric,CZ,200,335
2023,electric,CZ,210,209
2023,electric,CZ,220,778
2023,electric,CZ,230,1
2023,electric,CZ,240,210
2023,electric,CZ,250,128
2023,electric,CZ,260,46
2023,electric,CZ,270,14
2023,electric,CZ,280,77
2023,electric,CZ,290,2
2023,electric,CZ,300,180
2023,electric,CZ,310,50
2023,electric,CZ,330,3
2023,electric,CZ,350,24
2023,electric,CZ,360,15
2023,electric,CZ,370,24
2023,electric,CZ,380,60
2023,electric,CZ,390,53
2023,electric,CZ,400,80
2023,electric,CZ,430,43
2023,electric,CZ,440,16
2023,electric,CZ,460,6
2023,electric,CZ,480,7
2023,electric,CZ,500,3
2023,electric,CZ,600,1
2023,electric,CZ,620,2
2023,electric,CZ,NA,88
2023,electric,DE,20,5
2023,electric,DE,30,7437
2023,electric,DE,40,482
2023,electric,DE,50,4962
2023,electric,DE,60,22394
2023,electric,DE,70,2404
2023,electric,DE,80,3047
2023,electric,DE,90,21496
2023,electric,DE,100,51297
2023,electric,DE,110,10766
2023,electric,DE,120,23928
2023,electric,DE,130,12026
2023,electric,DE,140,30480
2023,electric,DE,150,97109
2023,electric,DE,160,7968
2023,electric,DE,170,22140
2023,electric,DE,180,6810
2023,electric,DE,190,280
2023,electric,DE,200,25062
2023,electric,DE,210,27228
2023,electric,DE,220,62041
2023,electric,DE,230,228
2023,electric,DE,240,19034
2023,electric,DE,250,10260
2023,electric,DE,260,1172
2023,electric,DE,270,1217
2023,electric,DE,280,2703
2023,electric,DE,290,208
2023,electric,DE,300,13404
2023,electric,DE,310,204
2023,electric,DE,320,2072
2023,electric,DE,330,115
2023,electric,DE,340,81
2023,electric,DE,350,1834
2023,electric,DE,360,1306
2023,electric,DE,370,537
2023,electric,DE,380,2970
2023,electric,DE,390,2
2023,electric,DE,400,4242
2023,electric,DE,410,1
2023,electric,DE,420,44
2023,electric,DE,430,1399
2023,electric,DE,440,1614
2023,electric,DE,450,47
2023,electric,DE,460,650
2023,electric,DE,470,33
2023,electric,DE,480,484
2023,electric,DE,490,1
2023,electric,DE,500,58
2023,electric,DE,550,5
2023,electric,DE,600,2
2023,electric,DE,620,849
2023,electric,DE,680,12
2023,electric,DE,700,1
2023,electric,DE,760,1
2023,electric,DE,NA,17468
2023,electric,DK,10,2
2023,electric,DK,20,1
2023,electric,DK,30,102
2023,electric,DK,60,84
2023,electric,DK,70,4
2023,electric,DK,80,148
2023,electric,DK,90,222
2023,electric,DK,100,2041
2023,electric,DK,110,458
2023,electric,DK,120,542
2023,electric,DK,130,1191
2023,electric,DK,140,2023
2023,electric,DK,150,13335
2023,electric,DK,160,1871
2023,electric,DK,170,3618
2023,electric,DK,180,1601
2023,electric,DK,190,1
2023,electric,DK,200,1881
2023,electric,DK,210,4494
